0.0000 1.7150 1.0000
0.0143 5.1543 1.0000
0.0287 8.8181 0.9999
0.0430 11.8884 0.9999
0.0573 15.0939 0.9999
0.0717 18.3889 0.9999
0.0860 21.7332 0.9999
0.1003 25.1035 0.9999
0.1147 28.4858 0.9999
0.1290 31.8707 0.9998
0.1433 35.2518 0.9998
0.1577 38.6242 0.9998
0.1720 41.9840 0.9998
0.1863 45.3276 0.9998
0.2007 48.6523 0.9998
0.2150 51.9551 0.9997
0.2293 55.2335 0.9997
0.2437 58.4850 0.9997
0.2580 61.7073 0.9996
0.2723 64.8978 0.9996
0.2867 68.0542 0.9995
0.3010 71.1743 0.9994
0.3153 74.2555 0.9993
0.3297 77.2955 0.9992
0.3440 80.2918 0.9989
0.3583 83.2417 0.9985
0.3727 86.1425 0.9979
0.3870 88.9906 0.9965
0.4013 91.7798 0.9927
0.4157 94.4888 0.9711
0.4300 96.5216 0.2005
0.4443 96.6147 0.0100
0.4587 96.5878 0.0026
0.4730 96.5761 0.0012
0.4873 96.5938 0.0008
0.5017 96.6172 0.0006
0.5160 96.3133 0.0002
0.5303 93.8972 0.0000
0.5447 91.1656 0.0000
0.5590 88.3625 0.0000
0.5733 85.5023 0.0000
0.5877 82.5903 0.0000
0.6020 79.6298 0.0000
0.6163 76.6236 0.0000
0.6307 73.5742 0.0000
0.6450 70.4842 0.0000
0.6593 67.3559 0.0000
0.6737 64.1916 0.0000
0.6880 60.9939 0.0000
0.7023 57.7649 0.0000
0.7167 54.5072 0.0000
0.7310 51.2231 0.0000
0.7453 47.9152 0.0000
0.7597 44.5861 0.0000
0.7740 41.2386 0.0000
0.7883 37.8758 0.0000
0.8027 34.5010 0.0000
0.8170 31.1186 0.0000
0.8313 27.7337 0.0000
0.8457 24.3531 0.0000
0.8600 20.9871 0.0000
0.8743 17.6513 0.0000
0.8887 14.3720 0.0000
0.9030 11.1939 0.0000
0.9173 8.1370 0.0000
0.9317 4.2301 0.0000
0.9460 2.0892 0.0000
0.9603 6.0855 0.0000
0.9747 9.4905 0.0000
0.9890 12.5902 0.0000
1.0033 15.8202 0.0000
1.0177 19.1288 0.0000
1.0320 22.4805 0.0000
1.0463 25.8545 0.0000
