# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -8.88938776E+00  -8.51937870E+00   3.70009064E-01
# Error est. for CH(vbm) CH(cbm) diff =   6.51645509E-01   5.84781699E-01  -6.68638096E-02
#    Nb          CH(vbm)          CH(cbm)             diff
     25  -7.64196953E+00  -7.12892875E+00   5.13040781E-01
     26  -7.67118582E+00  -7.15669597E+00   5.14489853E-01
     27  -7.69741249E+00  -7.18331547E+00   5.14097020E-01
     28  -7.71660090E+00  -7.20709521E+00   5.09505688E-01
     29  -7.73767666E+00  -7.22588887E+00   5.11787790E-01
     30  -7.75585235E+00  -7.24397232E+00   5.11880024E-01
     31  -7.77237494E+00  -7.26276615E+00   5.09608784E-01
     32  -7.78633687E+00  -7.27903785E+00   5.07299021E-01
     33  -7.80322000E+00  -7.29465292E+00   5.08567082E-01
     34  -7.82204318E+00  -7.31036664E+00   5.11676539E-01
# k =   0.000000   0.500000   0.500000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -8.22234289E+00  -7.58413077E+00   6.38212113E-01
# Error est. for CH(vbm) CH(cbm) diff =   4.86537044E-01   4.57726867E-01  -2.88101762E-02
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -9.75228875E-01  -6.69547429E-01   3.05681446E-01
      2  -1.85891491E+00  -1.28157455E+00   5.77340366E-01
      3  -3.45634959E+00  -1.88880779E+00   1.56754180E+00
      4  -5.17116428E+00  -2.21284184E+00   2.95832244E+00
      5  -5.43428277E+00  -3.72786841E+00   1.70641436E+00
      6  -5.78145280E+00  -4.99254691E+00   7.88905891E-01
      7  -6.05625841E+00  -5.25350241E+00   8.02755995E-01
      8  -6.28400049E+00  -5.57096701E+00   7.13033487E-01
      9  -6.46793468E+00  -5.78491348E+00   6.83021200E-01
     10  -6.65078916E+00  -5.95304249E+00   6.97746669E-01
     11  -6.76440905E+00  -6.09640923E+00   6.67999818E-01
     12  -6.87678658E+00  -6.21531091E+00   6.61475672E-01
     13  -6.96513658E+00  -6.34938800E+00   6.15748581E-01
     14  -7.03663955E+00  -6.43991836E+00   5.96721188E-01
     15  -7.10222964E+00  -6.51094654E+00   5.91283098E-01
     16  -7.17729250E+00  -6.57167227E+00   6.05620221E-01
     17  -7.24520290E+00  -6.64300808E+00   6.02194819E-01
     18  -7.29988069E+00  -6.70020219E+00   5.99678495E-01
     19  -7.34941970E+00  -6.75363292E+00   5.95786785E-01
     20  -7.39697420E+00  -6.79567040E+00   6.01303802E-01
     21  -7.43363253E+00  -6.83385670E+00   5.99775830E-01
     22  -7.47307106E+00  -6.87208170E+00   6.00989360E-01
     23  -7.50646038E+00  -6.90292470E+00   6.03535675E-01
     24  -7.53102553E+00  -6.93155602E+00   5.99469509E-01
     25  -7.56520867E+00  -6.95914787E+00   6.06060799E-01
     26  -7.59213572E+00  -6.98488294E+00   6.07252773E-01
     27  -7.61747848E+00  -7.00883714E+00   6.08641341E-01
     28  -7.63549407E+00  -7.03078765E+00   6.04706418E-01
     29  -7.65525936E+00  -7.04779662E+00   6.07462744E-01
     30  -7.67288139E+00  -7.06422365E+00   6.08657732E-01
     31  -7.68872161E+00  -7.08210776E+00   6.06613856E-01
     32  -7.70221136E+00  -7.09695484E+00   6.05256524E-01
     33  -7.71789334E+00  -7.11130534E+00   6.06587994E-01
     34  -7.73580584E+00  -7.12640391E+00   6.09401937E-01
# k =   0.000000   0.500000   0.750000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -8.33848391E+00  -7.80702017E+00   5.31463737E-01
# Error est. for CH(vbm) CH(cbm) diff =   5.15607570E-01   4.95941715E-01  -1.96658559E-02
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -9.23009386E-01  -6.66398821E-01   2.56610566E-01
      2  -1.82193516E+00  -1.26509133E+00   5.56843828E-01
      3  -2.84834225E+00  -1.91145376E+00   9.36888493E-01
      4  -5.15177168E+00  -2.26819167E+00   2.88358001E+00
      5  -5.42423617E+00  -4.29248064E+00   1.13175553E+00
      6  -5.75319601E+00  -4.82973439E+00   9.23461622E-01
      7  -6.05027695E+00  -5.22770616E+00   8.22570796E-01
      8  -6.29651853E+00  -5.61392801E+00   6.82590524E-01
      9  -6.48240969E+00  -5.85206530E+00   6.30344384E-01
     10  -6.67473417E+00  -6.03218616E+00   6.42548011E-01
     11  -6.79871507E+00  -6.19064444E+00   6.08070628E-01
     12  -6.91812499E+00  -6.32069432E+00   5.97430671E-01
     13  -7.00995507E+00  -6.46531347E+00   5.44641598E-01
     14  -7.08495872E+00  -6.56595286E+00   5.19005860E-01
     15  -7.15537024E+00  -6.64601424E+00   5.09355998E-01
     16  -7.23375933E+00  -6.71509579E+00   5.18663537E-01
     17  -7.30307499E+00  -6.78550927E+00   5.17565723E-01
     18  -7.36175007E+00  -6.84731930E+00   5.14430775E-01
     19  -7.41376690E+00  -6.90913046E+00   5.04636436E-01
     20  -7.46526583E+00  -6.95216547E+00   5.13100361E-01
     21  -7.50435646E+00  -6.99390279E+00   5.10453670E-01
     22  -7.54521218E+00  -7.03540333E+00   5.09808854E-01
     23  -7.57983637E+00  -7.06834958E+00   5.11486792E-01
     24  -7.60607234E+00  -7.10004928E+00   5.06023065E-01
     25  -7.64283798E+00  -7.12960401E+00   5.13233968E-01
     26  -7.67212588E+00  -7.15729376E+00   5.14832117E-01
     27  -7.69832860E+00  -7.18437067E+00   5.13957933E-01
     28  -7.71729643E+00  -7.20730520E+00   5.09991225E-01
     29  -7.73773703E+00  -7.22615014E+00   5.11586886E-01
     30  -7.75654145E+00  -7.24459073E+00   5.11950720E-01
     31  -7.77297883E+00  -7.26308410E+00   5.09894733E-01
     32  -7.78711301E+00  -7.27964830E+00   5.07464709E-01
     33  -7.80364461E+00  -7.29494455E+00   5.08700055E-01
     34  -7.82287634E+00  -7.31107846E+00   5.11797881E-01
# k =   0.000000   0.750000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -8.68708763E+00  -8.59723641E+00   8.98512216E-02
# Error est. for CH(vbm) CH(cbm) diff =   5.97061241E-01   5.68975610E-01  -2.80856307E-02
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -7.99821494E-01  -8.86669655E-01  -8.68481615E-02
      2  -1.87920085E+00  -1.83030335E+00   4.88974951E-02
      3  -3.51024935E+00  -2.37707718E+00   1.13317217E+00
      4  -5.18637528E+00  -2.68573979E+00   2.50063549E+00
      5  -5.43066773E+00  -4.68948996E+00   7.41177769E-01
      6  -5.70224388E+00  -5.07135387E+00   6.30890011E-01
      7  -6.07779409E+00  -5.68865960E+00   3.89134491E-01
      8  -6.34694767E+00  -6.14176020E+00   2.05187475E-01
      9  -6.56710387E+00  -6.38349138E+00   1.83612488E-01
     10  -6.77243835E+00  -6.53908045E+00   2.33357897E-01
     11  -6.91313033E+00  -6.72649582E+00   1.86634510E-01
     12  -7.06989534E+00  -6.89266152E+00   1.77233828E-01
     13  -7.16215719E+00  -7.03845571E+00   1.23701483E-01
     14  -7.24871196E+00  -7.15878122E+00   8.99307344E-02
     15  -7.32620889E+00  -7.24657017E+00   7.96387283E-02
     16  -7.41855587E+00  -7.34092917E+00   7.76267015E-02
     17  -7.49835293E+00  -7.40901639E+00   8.93365461E-02
     18  -7.56223394E+00  -7.48508598E+00   7.71479620E-02
     19  -7.62240933E+00  -7.54847834E+00   7.39309879E-02
     20  -7.68071205E+00  -7.60400938E+00   7.67026704E-02
     21  -7.72383090E+00  -7.65757211E+00   6.62587915E-02
     22  -7.76932832E+00  -7.70312272E+00   6.62055961E-02
     23  -7.81133121E+00  -7.74646664E+00   6.48645720E-02
     24  -7.84145065E+00  -7.78400078E+00   5.74498665E-02
     25  -7.88579002E+00  -7.82184760E+00   6.39424166E-02
     26  -7.91971046E+00  -7.85162275E+00   6.80877132E-02
     27  -7.94833246E+00  -7.87970986E+00   6.86225989E-02
     28  -7.96985663E+00  -7.90606155E+00   6.37950763E-02
     29  -7.99279165E+00  -7.92924005E+00   6.35515973E-02
     30  -8.01406525E+00  -7.95020976E+00   6.38554905E-02
     31  -8.03224627E+00  -7.97319864E+00   5.90476266E-02
     32  -8.04765000E+00  -7.99234424E+00   5.53057633E-02
     33  -8.06787080E+00  -8.01101740E+00   5.68534017E-02
     34  -8.09002639E+00  -8.02826080E+00   6.17655909E-02
# k =   0.000000   0.750000   0.250000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -8.55600756E+00  -8.15121071E+00   4.04796856E-01
# Error est. for CH(vbm) CH(cbm) diff =   5.61641971E-01   5.42365327E-01  -1.92766438E-02
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -8.49902689E-01  -7.14264092E-01   1.35638597E-01
      2  -1.79682634E+00  -1.33717932E+00   4.59647014E-01
      3  -2.84881160E+00  -1.97149892E+00   8.77312687E-01
      4  -5.16843299E+00  -2.36882116E+00   2.79961182E+00
      5  -5.41836399E+00  -4.31210103E+00   1.10626296E+00
      6  -5.74222851E+00  -4.71469628E+00   1.02753223E+00
      7  -6.07565125E+00  -5.28205601E+00   7.93595244E-01
      8  -6.35512436E+00  -5.73208742E+00   6.23036946E-01
      9  -6.54102386E+00  -5.98502992E+00   5.55993939E-01
     10  -6.74476501E+00  -6.17650582E+00   5.68259187E-01
     11  -6.88250149E+00  -6.37084124E+00   5.11660249E-01
     12  -7.01588037E+00  -6.50089001E+00   5.14990362E-01
     13  -7.10652376E+00  -6.65113429E+00   4.55389467E-01
     14  -7.19275140E+00  -6.78113164E+00   4.11619763E-01
     15  -7.27029177E+00  -6.87779049E+00   3.92501283E-01
     16  -7.35383736E+00  -6.95058781E+00   4.03249552E-01
     17  -7.42675436E+00  -7.02216998E+00   4.04584378E-01
     18  -7.49179110E+00  -7.09352262E+00   3.98268481E-01
     19  -7.54984196E+00  -7.16671974E+00   3.83122222E-01
     20  -7.60637611E+00  -7.21284379E+00   3.93532319E-01
     21  -7.64782386E+00  -7.25860714E+00   3.89216726E-01
     22  -7.69051733E+00  -7.30421636E+00   3.86300968E-01
     23  -7.72968188E+00  -7.34142317E+00   3.88258708E-01
     24  -7.75722521E+00  -7.37637134E+00   3.80853873E-01
     25  -7.79900866E+00  -7.40947333E+00   3.89535333E-01
     26  -7.83084186E+00  -7.43876559E+00   3.92076268E-01
     27  -7.85992524E+00  -7.46919953E+00   3.90725707E-01
     28  -7.87958761E+00  -7.49413233E+00   3.85455275E-01
     29  -7.90273346E+00  -7.51574751E+00   3.86985956E-01
     30  -7.92251586E+00  -7.53618080E+00   3.86335062E-01
     31  -7.94001314E+00  -7.55635841E+00   3.83654731E-01
     32  -7.95488014E+00  -7.57461263E+00   3.80267513E-01
     33  -7.97380348E+00  -7.59201963E+00   3.81783855E-01
     34  -7.99436559E+00  -7.60884538E+00   3.85520212E-01
# k =   0.000000   0.750000   0.500000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -8.33821707E+00  -7.80621998E+00   5.31997091E-01
# Error est. for CH(vbm) CH(cbm) diff =   5.15605716E-01   4.94714127E-01  -2.08915893E-02
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -9.18554229E-01  -6.76050086E-01   2.42504143E-01
      2  -1.82187151E+00  -1.26442295E+00   5.57448556E-01
      3  -2.85602750E+00  -1.90622029E+00   9.49807201E-01
      4  -5.15139462E+00  -2.26860954E+00   2.88278509E+00
      5  -5.41702922E+00  -4.28740120E+00   1.12962802E+00
      6  -5.75191008E+00  -4.83320596E+00   9.18704124E-01
      7  -6.05865872E+00  -5.27209423E+00   7.86564482E-01
      8  -6.29625507E+00  -5.61481364E+00   6.81441428E-01
      9  -6.48714845E+00  -5.86239236E+00   6.24756089E-01
     10  -6.67422393E+00  -6.03321826E+00   6.41005676E-01
     11  -6.79453649E+00  -6.19360907E+00   6.00927418E-01
     12  -6.91813298E+00  -6.32560254E+00   5.92530444E-01
     13  -7.00900439E+00  -6.46403966E+00   5.44964732E-01
     14  -7.08485987E+00  -6.56672882E+00   5.18131048E-01
     15  -7.15828563E+00  -6.65125295E+00   5.07032684E-01
     16  -7.23362676E+00  -6.71588553E+00   5.17741228E-01
     17  -7.30369199E+00  -6.78592015E+00   5.17771835E-01
     18  -7.36162510E+00  -6.84786163E+00   5.13763473E-01
     19  -7.41372860E+00  -6.91043006E+00   5.03298540E-01
     20  -7.46507766E+00  -6.95258673E+00   5.12490926E-01
     21  -7.50354903E+00  -6.99332554E+00   5.10223490E-01
     22  -7.54495987E+00  -7.03594240E+00   5.09017464E-01
     23  -7.57959042E+00  -7.06887720E+00   5.10713222E-01
     24  -7.60580300E+00  -7.10036897E+00   5.05434037E-01
     25  -7.64249799E+00  -7.13039199E+00   5.12106001E-01
     26  -7.67186666E+00  -7.15769770E+00   5.14168961E-01
     27  -7.69818957E+00  -7.18467460E+00   5.13514976E-01
     28  -7.71701835E+00  -7.20781152E+00   5.09206830E-01
     29  -7.73768436E+00  -7.22681885E+00   5.10865511E-01
     30  -7.75645551E+00  -7.24567737E+00   5.10778139E-01
     31  -7.77271403E+00  -7.26363030E+00   5.09083735E-01
     32  -7.78682124E+00  -7.28007357E+00   5.06747666E-01
     33  -7.80340521E+00  -7.29572618E+00   5.07679026E-01
     34  -7.82261136E+00  -7.31150586E+00   5.11105501E-01
# k =   0.000000   0.750000   0.750000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -8.37429071E+00  -7.88689264E+00   4.87398066E-01
# Error est. for CH(vbm) CH(cbm) diff =   5.31540679E-01   4.91524595E-01  -4.00160837E-02
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -8.84539229E-01  -7.11106080E-01   1.73433149E-01
      2  -1.90001437E+00  -1.32742414E+00   5.72590229E-01
      3  -3.56121331E+00  -2.00782832E+00   1.55338499E+00
      4  -5.11230146E+00  -2.38490608E+00   2.72739537E+00
      5  -5.38679410E+00  -4.45471505E+00   9.32079049E-01
      6  -5.74509151E+00  -5.01081214E+00   7.34279362E-01
      7  -6.04089222E+00  -5.50198908E+00   5.38903145E-01
      8  -6.26823320E+00  -5.74603242E+00   5.22200771E-01
      9  -6.47000625E+00  -5.95567893E+00   5.14327322E-01
     10  -6.66125179E+00  -6.12584439E+00   5.35407400E-01
     11  -6.78857309E+00  -6.30427262E+00   4.84300468E-01
     12  -6.92074056E+00  -6.42241279E+00   4.98327768E-01
     13  -7.01365435E+00  -6.56073527E+00   4.52919078E-01
     14  -7.09216197E+00  -6.66411070E+00   4.28051272E-01
     15  -7.16628378E+00  -6.74381047E+00   4.22473309E-01
     16  -7.24614441E+00  -6.80970946E+00   4.36434953E-01
     17  -7.31405349E+00  -6.87587543E+00   4.38178065E-01
     18  -7.37272120E+00  -6.93182359E+00   4.40897608E-01
     19  -7.42569310E+00  -6.98734822E+00   4.38344885E-01
     20  -7.47712698E+00  -7.03198875E+00   4.45138227E-01
     21  -7.51697329E+00  -7.07794980E+00   4.39023491E-01
     22  -7.55892406E+00  -7.12015445E+00   4.38769611E-01
     23  -7.59498561E+00  -7.15479461E+00   4.40191006E-01
     24  -7.62081242E+00  -7.18479799E+00   4.36014425E-01
     25  -7.65913016E+00  -7.21426203E+00   4.44868130E-01
     26  -7.68879955E+00  -7.24164606E+00   4.47153485E-01
     27  -7.71510639E+00  -7.26835932E+00   4.46747065E-01
     28  -7.73416957E+00  -7.29163785E+00   4.42531717E-01
     29  -7.75546503E+00  -7.31005327E+00   4.45411768E-01
     30  -7.77467927E+00  -7.32949353E+00   4.45185743E-01
     31  -7.79131061E+00  -7.34780115E+00   4.43509458E-01
     32  -7.80570966E+00  -7.36461861E+00   4.41091046E-01
     33  -7.82279933E+00  -7.37894615E+00   4.43853181E-01
     34  -7.84275003E+00  -7.39536805E+00   4.47381983E-01
# k =   0.250000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -8.69021688E+00  -8.59202977E+00   9.81871137E-02
# Error est. for CH(vbm) CH(cbm) diff =   6.00618560E-01   5.65243558E-01  -3.53750018E-02
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -8.19532635E-01  -8.99607668E-01  -8.00750330E-02
      2  -1.86905189E+00  -1.83254079E+00   3.65111067E-02
      3  -3.49820111E+00  -2.32041896E+00   1.17778215E+00
      4  -5.18528496E+00  -2.68497752E+00   2.50030744E+00
      5  -5.40315694E+00  -4.68585777E+00   7.17299168E-01
      6  -5.72971065E+00  -5.01565952E+00   7.14051127E-01
      7  -6.06857675E+00  -5.66079079E+00   4.07785960E-01
      8  -6.34702699E+00  -6.14048093E+00   2.06546064E-01
      9  -6.56743606E+00  -6.39315194E+00   1.74284119E-01
     10  -6.77277068E+00  -6.53772925E+00   2.35041431E-01
     11  -6.91877091E+00  -6.73141886E+00   1.87352046E-01
     12  -7.06943644E+00  -6.89831947E+00   1.71116970E-01
     13  -7.16413669E+00  -7.03723836E+00   1.26898329E-01
     14  -7.24847706E+00  -7.15770667E+00   9.07703895E-02
     15  -7.32682256E+00  -7.24532525E+00   8.14973060E-02
     16  -7.41988141E+00  -7.33640319E+00   8.34782212E-02
     17  -7.49660412E+00  -7.40490005E+00   9.17040747E-02
     18  -7.56161372E+00  -7.48366608E+00   7.79476450E-02
     19  -7.62451030E+00  -7.54978838E+00   7.47219240E-02
     20  -7.68013816E+00  -7.60244831E+00   7.76898537E-02
     21  -7.72305694E+00  -7.65593521E+00   6.71217335E-02
     22  -7.77011404E+00  -7.70326734E+00   6.68467052E-02
     23  -7.81099641E+00  -7.74633590E+00   6.46605094E-02
     24  -7.83923628E+00  -7.78091178E+00   5.83245019E-02
     25  -7.88578539E+00  -7.82075578E+00   6.50296065E-02
     26  -7.91932241E+00  -7.85014822E+00   6.91741953E-02
     27  -7.94793334E+00  -7.87643825E+00   7.14950902E-02
     28  -7.96876233E+00  -7.90507358E+00   6.36887529E-02
     29  -7.99270352E+00  -7.92805509E+00   6.46484253E-02
     30  -8.01328797E+00  -7.94984257E+00   6.34453929E-02
     31  -8.03147394E+00  -7.97208522E+00   5.93887247E-02
     32  -8.04713961E+00  -7.99088731E+00   5.62522936E-02
     33  -8.06619208E+00  -8.00850969E+00   5.76823869E-02
     34  -8.08959832E+00  -8.02678621E+00   6.28121120E-02
# k =   0.250000   0.000000   0.250000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -8.37677825E+00  -7.88054447E+00   4.96233780E-01
# Error est. for CH(vbm) CH(cbm) diff =   5.32108287E-01   4.85633768E-01  -4.64745189E-02
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -8.77826811E-01  -7.22874343E-01   1.54952468E-01
      2  -1.89660949E+00  -1.32776601E+00   5.68843476E-01
      3  -3.45595435E+00  -1.99748364E+00   1.45847070E+00
      4  -5.11043404E+00  -2.38481144E+00   2.72562260E+00
      5  -5.37102801E+00  -4.39901318E+00   9.72014823E-01
      6  -5.74689737E+00  -4.92584733E+00   8.21050038E-01
      7  -6.03912620E+00  -5.45026687E+00   5.88859334E-01
      8  -6.26907358E+00  -5.74407609E+00   5.24997490E-01
      9  -6.47454212E+00  -5.96184526E+00   5.12696865E-01
     10  -6.66538723E+00  -6.12163205E+00   5.43755184E-01
     11  -6.79250087E+00  -6.30368005E+00   4.88820818E-01
     12  -6.92231721E+00  -6.42736303E+00   4.94954179E-01
     13  -7.01501423E+00  -6.56190910E+00   4.53105127E-01
     14  -7.09433228E+00  -6.66390467E+00   4.30427613E-01
     15  -7.16400205E+00  -6.73805136E+00   4.25950690E-01
     16  -7.24595537E+00  -6.81330428E+00   4.32651092E-01
     17  -7.31747224E+00  -6.87462552E+00   4.42846719E-01
     18  -7.37469268E+00  -6.93189047E+00   4.42802211E-01
     19  -7.42835802E+00  -6.98756671E+00   4.40791310E-01
     20  -7.47905677E+00  -7.03209109E+00   4.46965686E-01
     21  -7.51782212E+00  -7.07691702E+00   4.40905095E-01
     22  -7.56084811E+00  -7.11893526E+00   4.41912850E-01
     23  -7.59685516E+00  -7.15472919E+00   4.42125971E-01
     24  -7.62421759E+00  -7.18594974E+00   4.38267854E-01
     25  -7.66092365E+00  -7.21468425E+00   4.46239403E-01
     26  -7.69128723E+00  -7.24144971E+00   4.49837524E-01
     27  -7.71631841E+00  -7.26740389E+00   4.48914523E-01
     28  -7.73705155E+00  -7.29051997E+00   4.46531576E-01
     29  -7.75740870E+00  -7.30997486E+00   4.47433845E-01
     30  -7.77629544E+00  -7.32778625E+00   4.48509186E-01
     31  -7.79317561E+00  -7.34791389E+00   4.45261727E-01
     32  -7.80767454E+00  -7.36459902E+00   4.43075527E-01
     33  -7.82475671E+00  -7.37954650E+00   4.45210205E-01
     34  -7.84466996E+00  -7.39491070E+00   4.49759261E-01
# k =   0.250000   0.000000   0.500000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -8.33902662E+00  -7.80661401E+00   5.32412608E-01
# Error est. for CH(vbm) CH(cbm) diff =   5.17028871E-01   4.94753145E-01  -2.22757262E-02
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -9.45789745E-01  -7.02257646E-01   2.43532099E-01
      2  -1.81667422E+00  -1.26514318E+00   5.51531031E-01
      3  -2.95373048E+00  -1.88876582E+00   1.06496466E+00
      4  -5.15059371E+00  -2.26796116E+00   2.88263255E+00
      5  -5.41491053E+00  -4.25312569E+00   1.16178484E+00
      6  -5.77165115E+00  -4.79928338E+00   9.72367775E-01
      7  -6.05715065E+00  -5.26008108E+00   7.97069568E-01
      8  -6.29557477E+00  -5.61537243E+00   6.80202343E-01
      9  -6.48194292E+00  -5.86184855E+00   6.20094374E-01
     10  -6.67831785E+00  -6.02941696E+00   6.48900893E-01
     11  -6.79873905E+00  -6.19366565E+00   6.05073393E-01
     12  -6.91732363E+00  -6.32364121E+00   5.93682424E-01
     13  -7.00952544E+00  -6.46978375E+00   5.39741687E-01
     14  -7.08408916E+00  -6.56679470E+00   5.17294458E-01
     15  -7.15337465E+00  -6.64539986E+00   5.07974796E-01
     16  -7.23336031E+00  -6.71563508E+00   5.17725234E-01
     17  -7.30629222E+00  -6.78662176E+00   5.19670460E-01
     18  -7.36096135E+00  -6.84829076E+00   5.12670595E-01
     19  -7.41481613E+00  -6.90597622E+00   5.08839911E-01
     20  -7.46443326E+00  -6.95302368E+00   5.11409574E-01
     21  -7.50325826E+00  -6.99570706E+00   5.07551199E-01
     22  -7.54482987E+00  -7.03487975E+00   5.09950120E-01
     23  -7.57942011E+00  -7.06986003E+00   5.09560085E-01
     24  -7.60694620E+00  -7.10160093E+00   5.05345267E-01
     25  -7.64212600E+00  -7.13094628E+00   5.11179719E-01
     26  -7.67123986E+00  -7.15806529E+00   5.13174562E-01
     27  -7.69762747E+00  -7.18506226E+00   5.12565205E-01
     28  -7.71693278E+00  -7.20761052E+00   5.09322258E-01
     29  -7.73606467E+00  -7.22663201E+00   5.09432660E-01
     30  -7.75542622E+00  -7.24481783E+00   5.10608383E-01
     31  -7.77196270E+00  -7.26398153E+00   5.07981166E-01
     32  -7.78622626E+00  -7.28041663E+00   5.05809624E-01
     33  -7.80277298E+00  -7.29575187E+00   5.07021102E-01
     34  -7.82199775E+00  -7.31186087E+00   5.10136881E-01
# k =   0.250000   0.000000   0.750000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -8.55743092E+00  -8.15474597E+00   4.02684948E-01
# Error est. for CH(vbm) CH(cbm) diff =   5.62642930E-01   5.42570895E-01  -2.00720352E-02
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -9.09467178E-01  -7.52341634E-01   1.57125544E-01
      2  -1.79137353E+00  -1.33953781E+00   4.51835719E-01
      3  -3.05558792E+00  -1.97823244E+00   1.07735547E+00
      4  -5.17042916E+00  -2.37125179E+00   2.79917736E+00
      5  -5.40396499E+00  -4.29839301E+00   1.10557198E+00
      6  -5.72226481E+00  -4.75341534E+00   9.68849463E-01
      7  -6.05193430E+00  -5.23661018E+00   8.15324128E-01
      8  -6.35674127E+00  -5.73501096E+00   6.21730310E-01
      9  -6.54035528E+00  -5.98534991E+00   5.55005374E-01
     10  -6.75431817E+00  -6.17357789E+00   5.80740286E-01
     11  -6.88733901E+00  -6.37030721E+00   5.17031792E-01
     12  -7.01639398E+00  -6.50932948E+00   5.07064498E-01
     13  -7.11066243E+00  -6.66187200E+00   4.48790432E-01
     14  -7.19309868E+00  -6.78367455E+00   4.09424123E-01
     15  -7.26622115E+00  -6.87381208E+00   3.92409073E-01
     16  -7.35760973E+00  -6.95165145E+00   4.05958281E-01
     17  -7.43161423E+00  -7.02537212E+00   4.06242112E-01
     18  -7.49240171E+00  -7.09665504E+00   3.95746666E-01
     19  -7.55245112E+00  -7.16125117E+00   3.91199946E-01
     20  -7.60703810E+00  -7.21594636E+00   3.91091739E-01
     21  -7.64983646E+00  -7.26431433E+00   3.85522128E-01
     22  -7.69184070E+00  -7.30614763E+00   3.85693068E-01
     23  -7.73090473E+00  -7.34556096E+00   3.85343767E-01
     24  -7.76001186E+00  -7.38105281E+00   3.78959047E-01
     25  -7.80021391E+00  -7.41336828E+00   3.86845637E-01
     26  -7.83079836E+00  -7.44299568E+00   3.87802682E-01
     27  -7.86051520E+00  -7.47207275E+00   3.88442447E-01
     28  -7.88037833E+00  -7.49675181E+00   3.83626518E-01
     29  -7.90245852E+00  -7.51853945E+00   3.83919062E-01
     30  -7.92261821E+00  -7.53826017E+00   3.84358035E-01
     31  -7.94033867E+00  -7.55966821E+00   3.80670458E-01
     32  -7.95553120E+00  -7.57792526E+00   3.77605944E-01
     33  -7.97377616E+00  -7.59458340E+00   3.79192762E-01
     34  -7.99478799E+00  -7.61217507E+00   3.82612913E-01
# k =   0.250000   0.250000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
