# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -8.88938776E+00  -8.51937870E+00   3.70009064E-01
# Error est. for CH(vbm) CH(cbm) diff =   6.51645509E-01   5.84781699E-01  -6.68638096E-02
#    Nb          CH(vbm)          CH(cbm)             diff
      9  -6.59919257E+00  -6.39814771E+00   2.01044858E-01
     10  -6.79516826E+00  -6.53558627E+00   2.59581985E-01
     11  -6.92668964E+00  -6.70081555E+00   2.25874090E-01
     12  -7.07097192E+00  -6.86072716E+00   2.10244766E-01
     13  -7.15970635E+00  -7.01205104E+00   1.47655312E-01
     14  -7.24132250E+00  -7.12810034E+00   1.13222162E-01
     15  -7.31747908E+00  -7.21530085E+00   1.02178230E-01
     16  -7.40464576E+00  -7.30622873E+00   9.84170235E-02
     17  -7.48229076E+00  -7.37271887E+00   1.09571898E-01
     18  -7.54688362E+00  -7.45228337E+00   9.46002468E-02
     19  -7.60980785E+00  -7.52378497E+00   8.60228825E-02
     20  -7.66271708E+00  -7.56818305E+00   9.45340235E-02
     21  -7.70357716E+00  -7.61900171E+00   8.45754471E-02
     22  -7.74962456E+00  -7.66458177E+00   8.50427924E-02
     23  -7.78918152E+00  -7.70582407E+00   8.33574422E-02
     24  -7.81652933E+00  -7.74254837E+00   7.39809630E-02
     25  -7.86101511E+00  -7.78184876E+00   7.91663453E-02
     26  -7.89440376E+00  -7.80822289E+00   8.61808706E-02
     27  -7.92319834E+00  -7.83589859E+00   8.72997421E-02
     28  -7.94376562E+00  -7.86177514E+00   8.19904790E-02
     29  -7.96740658E+00  -7.88515211E+00   8.22544778E-02
     30  -7.98722502E+00  -7.90508721E+00   8.21378064E-02
     31  -8.00446443E+00  -7.92754256E+00   7.69218651E-02
     32  -8.01975966E+00  -7.94611138E+00   7.36482768E-02
     33  -8.03859066E+00  -7.96457321E+00   7.40174555E-02
     34  -8.06034564E+00  -7.98184647E+00   7.84991662E-02
# k =   0.000000   0.000000   0.750000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -8.68811229E+00  -8.59787224E+00   9.02400497E-02
# Error est. for CH(vbm) CH(cbm) diff =   6.00433321E-01   5.72331312E-01  -2.81020092E-02
#    Nb          CH(vbm)          CH(cbm)             diff
