# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    0.000000000   46.699321025   69.041555012   69.041477722
    0.060120240   46.718804858   69.069531968   69.069454652
    0.120240481   46.777363462   69.153610949   69.153533553
    0.180360721   46.875319673   69.294238337   69.294160808
    0.240480962   47.013216672   69.492164955   69.492087240
    0.300601202   47.191825802   69.748456547   69.748378590
    0.360721443   47.412157825   70.064508828   70.064430574
    0.420841683   47.675477908   70.442067534   70.441988924
    0.480961924   47.983324783   70.883254003   70.883174979
    0.541082164   48.337534645   71.390597055   71.390517555
    0.601202405   48.740270491   71.967072070   71.966992030
    0.661322645   49.194057839   72.616148483   72.616067836
    0.721442886   49.701827980   73.341847201   73.341765876
    0.781563126   50.266970246   74.148809829   74.148727752
    0.841683367   50.893395149   75.042382137   75.042299230
    0.901803607   51.585610770   76.028714802   76.028630981
    0.961923848   52.348815430   77.114885317   77.114800492
    1.022044088   53.189010530   78.309046064   78.308960139
    1.082164329   54.113138598   79.620604960   79.620517830
    1.142284569   55.129253099   81.060447045   81.060358599
    1.202404810   56.246728628   82.641207961   82.641118075
    1.262525050   57.476522917   84.377613793   84.377522333
    1.322645291   58.831505957   86.286906626   86.286813444
    1.382765531   60.326876960   88.389381912   88.389286844
    1.442885772   61.980697518   90.709073292   90.708976157
    1.503006012   63.814580275   93.274634148   93.274534742
    1.563126253   65.854588338   96.120484872   96.120382968
    1.623246493   68.132424080   99.288323911   99.288219249
    1.683366733   70.687021107  102.829143973  102.829036260
    1.743486974   73.566706596  106.805960717  106.805849616
    1.803607214   76.832183937  111.297562996  111.297448118
    1.863727455   80.560715864  116.403753700  116.403634593
    1.923847695   84.852096396  122.252805401  122.252681532
    1.983967936   89.837336300  129.012266609  129.012137352
    2.044088176   95.691530474  136.904918500  136.904783102
    2.104208417  102.653230757  146.232723418  146.232580974
    2.164328657  111.053848810  157.413060992  157.412910396
    2.224448898  121.361553623  171.032647428  171.032487311
    2.284569138  134.240525146  187.919941408  187.919770032
    2.344689379  150.594051541  209.196465772  209.196280812
    2.404809619  171.363304484  236.023102510  236.022900329
    2.464929860  195.782618938  267.418933757  267.418706243
    2.525050100  213.724505640  290.432105097  290.431826478
    2.585170341  204.748258841  277.797763569  277.797377847
    2.645290581  151.920699592  220.829074743  220.828603226
    2.705410822   12.845461717   80.641517273   80.641118487
    2.765531062 -107.180829653  -49.316263780  -49.316407109
    2.825651303 -127.086520111  -81.903304711  -81.903237648
    2.885771543 -108.598118563  -77.444393909  -77.444191300
    2.945891784  -90.444343547  -68.838010434  -68.837761365
    3.006012024  -80.936059439  -66.368541422  -66.368281992
    3.066132265  -69.746808997  -71.523949720  -71.523740683
    3.126252505  -53.996502898  -71.690124466  -71.689999531
    3.186372745  -40.600415382  -66.980663575  -66.980648437
    3.246492986  -38.508892604  -69.701747791  -69.701842518
    3.306613226  -41.937447553  -76.819451031  -76.819510890
    3.366733467  -47.359062767  -80.580695889  -80.580686327
    3.426853707  -53.109858463  -76.211411464  -76.211371261
    3.486973948  -52.025649642  -72.990062630  -72.990075600
    3.547094188  -49.207983503  -76.071242594  -76.071333691
    3.607214429  -41.309361490  -74.110883171  -74.110967173
    3.667334669  -32.643397654  -72.521378959  -72.521329295
    3.727454910  -28.793309899  -71.381741850  -71.381617499
    3.787575150  -28.666333496  -66.227043669  -66.226953167
    3.847695391  -27.567977662  -60.483315334  -60.483242657
    3.907815631  -28.668769758  -55.860882112  -55.860747512
    3.967935872  -30.337160944  -52.607865542  -52.607688031
    4.028056112  -26.136385652  -46.484202821  -46.484030010
    4.088176353  -21.069755252  -41.971458710  -41.971300857
    4.148296593  -17.179779735  -41.926711704  -41.926559656
    4.208416834  -11.701887922  -36.840532958  -36.840378986
    4.268537074   -7.587440880  -33.747335569  -33.747177444
    4.328657315   -4.874965215  -30.325030723  -30.324906745
    4.388777555   -4.469704819  -26.704400578  -26.704342495
    4.448897796   -7.846317806  -28.585639671  -28.585577963
    4.509018036  -27.317561524  -44.169263388  -44.169143200
    4.569138277  -56.618135834  -71.339935035  -71.339821169
    4.629258517  -63.736946202  -81.208056119  -81.208123941
    4.689378758  -57.849940009  -76.330013920  -76.330228985
    4.749498998  -50.733507019  -68.242088376  -68.242328918
    4.809619238  -44.877194098  -62.564268292  -62.564512432
    4.869739479  -40.464758824  -57.176842549  -57.177093035
    4.929859719  -36.860905783  -51.970810548  -51.971067987
    4.989979960  -34.058050422  -49.280726797  -49.280977655
    5.050100200  -32.067350804  -48.117856967  -48.118048394
    5.110220441  -31.096422385  -46.796110991  -46.796211861
    5.170340681  -29.847108748  -45.234704098  -45.234796269
    5.230460922  -28.032330515  -42.972493520  -42.972624238
    5.290581162  -26.564868843  -41.500200937  -41.500372728
    5.350701403  -25.426633975  -43.299745020  -43.299841870
    5.410821643  -24.223648844  -45.033746903  -45.033632920
    5.470941884  -22.874329211  -44.277540236  -44.277330623
    5.531062124  -21.497609989  -41.800742317  -41.800548361
    5.591182365  -20.266124960  -39.184985824  -39.184826843
    5.651302605  -19.288939084  -36.815931042  -36.815803445
    5.711422846  -18.987906835  -34.761253810  -34.761151369
    5.771543086  -18.854516228  -33.183067468  -33.182981249
    5.831663327  -18.077599349  -32.134325334  -32.134244010
    5.891783567  -17.182368310  -31.028508590  -31.028425563
    5.951903808  -16.417150158  -29.896131859  -29.896034176
    6.012024048  -15.574609010  -28.698435641  -28.698334455
    6.072144289  -14.681564179  -27.508371932  -27.508278545
    6.132264529  -13.929067610  -26.536717580  -26.536632914
