# Direct absorption versus energy
# Photon energy (eV), Imaginary dielectric function along x,y,z,average
            0.050000  0.90320942604404E-10  0.71047611276923E-10  0.20717094222602E-11  0.54480087767862E-10
            0.100000  0.29021472254092E-11  0.22828295370571E-11  0.66582466941531E-13  0.17505197431360E-11
            0.150000  0.19062332872869E-13  0.14994392683731E-13  0.43735625422014E-15  0.11498027270274E-13
            0.200000  0.23096209564715E-16  0.20170321730642E-16  0.19638438190545E-17  0.15076791704804E-16
            0.250000  0.41830620154382E-15  0.69095236964896E-15  0.26954885820088E-15  0.45960247646455E-15
            0.300000  0.11137496242164E-13  0.18477704991067E-13  0.73163404399383E-14  0.12310513891056E-13
            0.350000  0.43336898113394E-13  0.73006341666628E-13  0.30380179484928E-13  0.48907806421650E-13
            0.400000  0.25479677414085E-13  0.45021772045013E-13  0.21482382728187E-13  0.30661277395762E-13
            0.450000  0.25412230433822E-14  0.50081361767462E-14  0.30365104802612E-14  0.35286232334632E-14
            0.500000  0.50537599010484E-16  0.11419901062458E-15  0.85608417557678E-16  0.83448342397582E-16
            0.550000  0.19905670753474E-18  0.48868963410311E-18  0.40631434319433E-18  0.36468689494406E-18
            0.600000  0.12795674889097E-17  0.92324424398198E-18  0.38304240026790E-17  0.20110785785235E-17
            0.650000  0.58192710953933E-15  0.46703677450766E-15  0.14360157007688E-14  0.82832652827194E-15
            0.700000  0.41108350409908E-13  0.37067111222379E-13  0.73907322254096E-13  0.50694261295461E-13
            0.750000  0.46571784156279E-12  0.45366402802984E-12  0.52779816878150E-12  0.48239334612471E-12
            0.800000  0.90823995449444E-12  0.82576232752998E-12  0.57864209317755E-12  0.77088145840066E-12
            0.850000  0.38163703120201E-12  0.21671318790011E-12  0.16683441326787E-12  0.25506154412333E-12
            0.900000  0.46070059073512E-13  0.89609147218641E-14  0.23821312584714E-13  0.26284095460030E-13
            0.950000  0.30268248927769E-14  0.35694303585884E-15  0.23474031384859E-14  0.19103903557072E-14
            1.000000  0.11467886232810E-15  0.16718319236369E-16  0.94896259754822E-16  0.75431147106432E-16
            1.050000  0.27839204212901E-16  0.74246410710569E-17  0.42718202375879E-17  0.13178555173849E-16
            1.100000  0.15449143316847E-16  0.41693606318753E-17  0.20877550343458E-17  0.72354196610227E-17
            1.150000  0.11956089714978E-17  0.32469789015690E-18  0.16171627794371E-18  0.56067437986615E-18
            1.200000  0.31452774978593E-18  0.64797703738177E-18  0.92386251558001E-19  0.35163034624190E-18
            1.250000  0.11407661689541E-16  0.24350099336946E-16  0.34260575794020E-17  0.13061272868630E-16
            1.300000  0.58508029852094E-16  0.12488784841861E-15  0.17572629347217E-16  0.66989502539309E-16
            1.350000  0.40732787492816E-16  0.86945162406064E-16  0.12235547380362E-16  0.46637832426414E-16
            1.400000  0.94759917549935E-17  0.83787281496889E-17  0.63581562299214E-17  0.80709587115346E-17
            1.450000  0.37975649333413E-14  0.47054438783757E-16  0.35095063893459E-14  0.24513752538236E-14
            1.500000  0.34767631702241E-12  0.42337005978580E-14  0.32130586943303E-12  0.22440529568443E-12
            1.550000  0.43174581084898E-11  0.52565438708543E-13  0.39899887469357E-11  0.27866707647113E-11
            1.600000  0.72710396877355E-11  0.88525528261379E-13  0.67195478695085E-11  0.46930376951685E-11
            1.650000  0.16604454083668E-11  0.20216212259188E-13  0.15345043787816E-11  0.10717219998025E-11
            1.700000  0.51411680197167E-13  0.62596851325904E-15  0.47512217043613E-13  0.33183288584680E-13
            1.750000  0.21580536529383E-15  0.26280184548426E-17  0.19943693097712E-15  0.13929010490860E-15
            1.800000  0.12282922925843E-18  0.14978358733318E-20  0.11351003474413E-18  0.79279033291963E-19
            1.850000  0.19536663065730E-20  0.70529595844006E-22  0.16498402037399E-20  0.12246787020523E-20
            1.900000  0.15591207839054E-19  0.56467294884059E-21  0.13160477433800E-19  0.97721194072315E-20
            1.950000  0.16944643035141E-19  0.61369090236411E-21  0.14302906806523E-19  0.10620413581343E-19
            2.000000  0.24955564214279E-20  0.90383058242359E-22  0.21064896504821E-20  0.15641430433841E-20
            2.050000  0.49803235334076E-22  0.18043767837641E-23  0.42039053045942E-22  0.31215555054594E-22
            2.100000  0.13694580703702E-24  0.59597719395773E-26  0.11573132016546E-24  0.86212299714018E-25
            2.150000  0.31534188151971E-24  0.12162886923467E-24  0.25564084542499E-24  0.23087053205979E-24
            2.200000  0.60567399388749E-23  0.23347110558411E-23  0.49075621899643E-23  0.44330043948934E-23
            2.250000  0.15765126575623E-22  0.60801830451780E-23  0.12788136922010E-22  0.11544482180937E-22
            2.300000  0.56796040179287E-23  0.24618621542413E-23  0.58257090476893E-23  0.46557250732864E-23
            2.350000  0.16745964818984E-23  0.38022973188177E-23  0.15532385730896E-22  0.70030931772039E-23
            2.400000  0.88183978758570E-23  0.58335379312662E-23  0.30857727340318E-22  0.15169887715814E-22
            2.450000  0.12293481934483E-19  0.52133617021331E-22  0.12701463549914E-19  0.83490263671392E-20
            2.500000  0.30983090556095E-17  0.12828707107769E-19  0.31999671649591E-17  0.21037016425588E-17
            2.550000  0.10576688134345E-15  0.43793196524122E-18  0.10923717656608E-15  0.71813996624925E-16
            2.600000  0.48901221552878E-15  0.20247744637037E-17  0.50505709397797E-15  0.33203136132348E-15
            2.650000  0.30621188033085E-15  0.12678824293894E-17  0.31625893487001E-15  0.20791289921008E-15
            2.700000  0.25968368924689E-16  0.10752306100954E-18  0.26820411695285E-16  0.17632101226995E-16
            2.750000  0.29824712491526E-18  0.12349040459342E-20  0.30803284952030E-18  0.20250495949383E-18
