# Direct absorption versus energy
# Photon energy (eV), Imaginary dielectric function along x,y,z,average
            0.050000  0.36124401451670E-10  0.28417143557044E-10  0.82807300978244E-12  0.21789872672832E-10
            0.100000  0.30120026859599E-11  0.23802497098490E-11  0.77511566717474E-13  0.18232546541755E-11
            0.150000  0.50205388436631E-12  0.40208788264638E-12  0.17070923251641E-13  0.30707089675478E-12
            0.200000  0.13426447314927E-12  0.11213345455818E-12  0.81352466669832E-14  0.84844391458144E-13
            0.250000  0.51746154893990E-13  0.48465211491727E-13  0.71772588173095E-14  0.35796208401009E-13
            0.300000  0.96579417268517E-13  0.88317516320354E-13  0.11671577529013E-13  0.65522837039295E-13
            0.350000  0.24863170206046E-13  0.42145720295329E-13  0.17879512576969E-13  0.28296134359448E-13
            0.400000  0.15455406829133E-13  0.27181826335874E-13  0.12810945247473E-13  0.18482726137493E-13
            0.450000  0.48197005705345E-14  0.85965455236709E-14  0.42022671596622E-14  0.58728377512892E-14
            0.500000  0.34597844229386E-13  0.37771343593706E-13  0.29542918496160E-13  0.33970702106417E-13
            0.550000  0.48298066557251E-13  0.42549519745359E-13  0.39014383173127E-13  0.43287323158579E-13
            0.600000  0.61696353251129E-13  0.54238209445183E-13  0.51237428293066E-13  0.55723996996459E-13
            0.650000  0.89967822437865E-13  0.79412310617889E-13  0.77990757530302E-13  0.82456963528686E-13
            0.700000  0.15701538933401E-12  0.14023338510347E-12  0.14521731436313E-12  0.14748869626687E-12
            0.750000  0.34198145506825E-12  0.31157588946390E-12  0.32545393503384E-12  0.32633709318866E-12
            0.800000  0.52200236771313E-12  0.46694818596581E-12  0.33635059511591E-12  0.44176704959828E-12
            0.850000  0.28050782419086E-12  0.18894363306005E-12  0.15647755460504E-12  0.20864300395198E-12
            0.900000  0.10513788187623E-12  0.69541584748467E-13  0.62281038983524E-13  0.78986835202739E-13
            0.950000  0.45591314065351E-13  0.31916620471469E-13  0.28235063221074E-13  0.35247665919298E-13
            1.000000  0.23439256197266E-13  0.17154780055171E-13  0.14894641856039E-13  0.18496226036158E-13
            1.050000  0.13671850472211E-13  0.10270328981962E-13  0.88499353537116E-14  0.10930704935961E-13
            1.100000  0.25638721415331E-14  0.44190140507651E-16  0.13726508643260E-14  0.13269043821222E-14
            1.150000  0.91986911373433E-16  0.21218001067966E-16  0.75940493591542E-16  0.63048468677647E-16
            1.200000  0.62734872964356E-16  0.22458777431959E-16  0.50081571202370E-16  0.45091740532895E-16
            1.250000  0.15049817531056E-16  0.30711736969297E-16  0.43926707147020E-17  0.16718075071685E-16
            1.300000  0.18780599465802E-12  0.23573004598582E-14  0.17354023164468E-12  0.12123450892085E-12
            1.350000  0.25104474811424E-12  0.31088310219459E-14  0.23198800822657E-12  0.16204719578758E-12
            1.400000  0.36368521624826E-12  0.44466077277759E-14  0.33609507360521E-12  0.23474229919375E-12
            1.450000  0.59279189344743E-12  0.72257138806989E-14  0.54782762915081E-12  0.38261507882631E-12
            1.500000  0.11567935868055E-11  0.14088654058889E-13  0.10690522007311E-11  0.74664481386515E-12
            1.550000  0.28035575509717E-11  0.34136158002674E-13  0.25909133655009E-11  0.18095356914917E-11
            1.600000  0.41059535019668E-11  0.49991999091967E-13  0.37945258002418E-11  0.26501571004335E-11
            1.650000  0.16382027919130E-11  0.19945359149686E-13  0.15139488268402E-11  0.10573656593010E-11
            1.700000  0.64592024914909E-12  0.78641770042998E-14  0.59692866416645E-12  0.41690436343995E-12
            1.750000  0.31714392684750E-12  0.38612752278310E-14  0.29308928019572E-12  0.20469816075702E-12
            1.800000  0.18092601440880E-12  0.22027937769951E-14  0.16720318705172E-12  0.11677733174584E-12
            1.850000  0.11392906367349E-12  0.13870983531907E-14  0.10528780274784E-12  0.73534654924839E-13
            1.900000  0.11348209883660E-19  0.34700664358835E-20  0.92701344765468E-20  0.80294702653633E-20
            1.950000  0.97099702776930E-20  0.35166996694641E-21  0.81961479282354E-20  0.60859293909583E-20
            2.000000  0.35906012470524E-20  0.13019369983578E-21  0.30307979656649E-20  0.22505309708510E-20
            2.050000  0.15083765381283E-20  0.54849876890590E-22  0.12731936208284E-20  0.94547334528244E-21
            2.100000  0.77859054556208E-21  0.28687402729306E-22  0.65768294391576E-21  0.48832029740238E-21
            2.150000  0.46122663881785E-21  0.17566959692193E-22  0.38996025186937E-21  0.28958461679314E-21
            2.200000  0.30152705862318E-21  0.12816537753697E-22  0.25541636638563E-21  0.18991998758750E-21
            2.250000  0.90708648323290E-23  0.38935748868284E-23  0.91323438860933E-23  0.73655945350836E-23
            2.300000  0.46163782646355E-23  0.25809058076469E-23  0.73389434472231E-23  0.48454091731685E-23
            2.350000  0.12660882047863E-16  0.52425842580124E-19  0.13076304028584E-16  0.85965373063423E-17
            2.400000  0.18138918457489E-16  0.75108485917506E-19  0.18734082873161E-16  0.12316036605522E-16
            2.450000  0.28580901114561E-16  0.11834182376407E-18  0.29518667922206E-16  0.19405970286844E-16
            2.500000  0.52024942404031E-16  0.21541197090111E-18  0.53731923928704E-16  0.35324092767879E-16
            2.550000  0.11733870404493E-15  0.48584589370574E-18  0.12118868090218E-15  0.79671076946941E-16
            2.600000  0.27676051738533E-15  0.11459380491781E-17  0.28584124994287E-15  0.18791590179246E-15
            2.650000  0.19060821599197E-15  0.78922097444522E-18  0.19686222303615E-15  0.12941988666752E-15
            2.700000  0.70405074788248E-16  0.29151500317702E-18  0.72715121104776E-16  0.47803903632067E-16
            2.750000  0.31952804547760E-16  0.13230185390994E-18  0.33001201395145E-16  0.21695435932272E-16
